zip5,facility_name,city,pct_nonwhite,med_hh_income,nw_q
55409,"The Aliveness Project, Inc. (dba) THRIVE Rx",Minneapolis,32.8860726308077,103234.125,3.0
55432,Total Care Pharmacy,Fridley,43.98249673450688,101027.5,3.0
55439,"Tria Pharmacy, LLC",Minneapolis,20.90466757153944,142256.23076923078,2.0
55112,Trinity Pharmacy LLC,Arden Hills,27.236588422704266,103865.09090909091,2.0
55102,United Family Practice Health Center (dba) Riverland Community Health Center,St Paul,36.68327645603593,72296.52631578948,3.0
55432,Wal-Mart Pharmacy #10-1952,Fridley,43.98249673450688,101027.5,3.0
55016,Wal-Mart Pharmacy #10-2448,Cottage Grove,,,
55318,Walgreen CO. (dba) Walgreens #05325,Chaska,27.986710419027943,217288.5,2.0
55317,Walgreen Co. (dba) Walgreens #09728,Chanhassen,21.97344049706177,163807.14285714287,2.0
55113,Walgreen Co. (dba) Walgreens #21577,Roseville,32.380987846438636,90358.74074074074,3.0
55044,Walgreen Co. (dba) Walgreens #7728,Lakeville,,,
55044,Walgreen Co. (dba) WALGREENS (#05634),Lakeville,,,
55124,Walgreen Co. (dba) WALGREENS (#09727),Apple Valley,,,
55445,Walgreen Co. (dba) Walgreens Central Fill #21426,Brooklyn Park,42.284806854457656,102749.73333333334,3.0
55408,Walgreen Co. (dba) Walgreens Specialty Pharmacy #11916,Minneapolis,39.866922581755176,79234.61111111111,3.0
55025,Walmart Inc. (dba) Walmart Pharmacy (#2274),Forest Lake,,,
55124,Walmart Inc. (dba) Walmart Pharmacy (#2642),Apple Valley,,,
55076,Walmart Inc. (dba) Walmart Pharmacy (#5089),Inver Grove Heights,,,
55044,Walmart Inc. (dba) Walmart Pharmacy (#5992),Lakeville,,,
55107,"West Side Community Health Services, Inc (dba) West Side Community Health Services Pharmacy",St Paul,41.160263099217836,-66597588.5,3.0
