Qinc,tracts,med_income,med_pct_nw,ai_total,desert_tracts,nppes_fn_tot,desert_rate,ai_per_tract,nppes_fn_per_tract
Q1 (< $70K),118,58658.5,53.41838327091136,87,67,58,56.8,0.74,0.49
Q2 ($70K-$90K),118,80239.0,39.95777953274208,81,75,24,63.6,0.69,0.2
Q3 ($90K-$117K),118,101656.5,25.110359624286268,58,83,12,70.3,0.49,0.1
Q4 (> $117K),118,144826.5,16.57157630916422,40,92,10,78.0,0.34,0.08
